source_id,translation_id_1,translation_id_2,translation_1,translation_2,human_score_1,human_score_2,model_preference_score,model_agrees
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",45,44," Som NSA, han bistod Carter med håndtering diplomatiske anliggender i verden, såsom Camp David-aftalerne, 1978; at normalisere USA-Kina relationer i slutningen af 1970'erne; den iranske revolution, der førte til Irans gidseldrama, 1979; og den sovjetiske invasion i Afghanistan, 1979."," Som NSA samarbejdede han med Carter om at håndtere verdensanliggender diplomatisk, som f.eks. Camp David-aftalen, 1978; om at normalisere USA–Kina forhold i slutningen af 1970'erne; den iranske revolution, som førte til Iran-gisler-situationen i 1979; og den sovjetiske invasion i 1979.",2,4,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",46,44," Som NSA, hjalp han Carter med at manipulere diplomatiske forhold i verden, som for eksempel Camp David-aftalen i 1978; med hensyn til at normalisere americanaftale med Kina i slutningen af 1970'erne; den iranske revolution i 1979, som resulterede i Den iranske gidselikrise og en sovjetisk invasion i Afghanistan i 1979."," Som NSA samarbejdede han med Carter om at håndtere verdensanliggender diplomatisk, som f.eks. Camp David-aftalen, 1978; om at normalisere USA–Kina forhold i slutningen af 1970'erne; den iranske revolution, som førte til Iran-gisler-situationen i 1979; og den sovjetiske invasion i 1979.",2,4,0.5,False
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",45,47," Som NSA, han bistod Carter med håndtering diplomatiske anliggender i verden, såsom Camp David-aftalerne, 1978; at normalisere USA-Kina relationer i slutningen af 1970'erne; den iranske revolution, der førte til Irans gidseldrama, 1979; og den sovjetiske invasion i Afghanistan, 1979."," Som NSA, bidrog han til Carters diplomatiske håndtering af internationale problemer såsom Camp David-aftalerne fra 1978; normaliseringen af US-China-forbindelser i slutningen af 1970'erne; den iranske revolution, der førte til den iranske gidselkrise fra 1979; og Sovjetunionens invasion af Afghanistan i 1979.",2,4,1.0,True
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",46,47," Som NSA, hjalp han Carter med at manipulere diplomatiske forhold i verden, som for eksempel Camp David-aftalen i 1978; med hensyn til at normalisere americanaftale med Kina i slutningen af 1970'erne; den iranske revolution i 1979, som resulterede i Den iranske gidselikrise og en sovjetisk invasion i Afghanistan i 1979."," Som NSA, bidrog han til Carters diplomatiske håndtering af internationale problemer såsom Camp David-aftalerne fra 1978; normaliseringen af US-China-forbindelser i slutningen af 1970'erne; den iranske revolution, der førte til den iranske gidselkrise fra 1979; og Sovjetunionens invasion af Afghanistan i 1979.",2,4,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,88," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29 år, blev fundet i Blue Ash, Ohio, en forstad cirka 15 kilometer nord for Cincinnati, liggende på jorden ved vejen i en T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",3,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,89," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand.",3,4,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,90," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",3,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,91," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramaniam, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 mil nord for Cincinnati, liggende på jorden ved siden af vejen i T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",3,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,92," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian blev fundet i Blue Ash, Ohio, et nabolag 15 miles nord for Cincinnati, liggende på jorden ved siden af vejen i en T-shirt og underbukser i en tilsyneladende kraftigt medicineret tilstand.",3,4,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,93," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati ved vejen i T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",3,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,94," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Balasubramanian blev 29 år og blev fundet i Blue Ash, Ohio, en forstad 20 kilometer nord for Cincinnati, liggende på jorden nær vejen i en t-shirt og underbukser i tilsyneladende stærkt medicinpåvirket tilstand.",3,5,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,95," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29 år, er fundet i Blue Ash, Ohio, en forstad 15 miles nord for Cincinatti liggende på jorden ved landevejen i T-shirt og undertøj i en tilsyneladende dybt medicinoverdoseret tilstand.",3,4,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,96," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Balasubramanian, på 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 miles nord for Cincinnati på gaden i en T-shirt og underbukser tilsyneladende i en stærkt medicineret tilstand.",3,4,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,97," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad 15 miles nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",3,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",98,87," Dr. Malar Balasubramanian, på 29 år, var funden i Blue Ash, Ohio, en forstad omkring 15 miles nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj på en tydeligt medicinpåvirket måde."," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering.",2,3,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",87,99," Dr. Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad til Cincinnati, ca. 15 miles nord for Cincinnati, på jorden ved siden af vejen i en T-shirt og undertøj i tilsyneladende alvorlig medicinering."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden nær vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",3,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,88," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Malar Balasubramanian, 29 år, blev fundet i Blue Ash, Ohio, en forstad cirka 15 kilometer nord for Cincinnati, liggende på jorden ved vejen i en T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",92,88," Dr. Malar Balasubramanian blev fundet i Blue Ash, Ohio, et nabolag 15 miles nord for Cincinnati, liggende på jorden ved siden af vejen i en T-shirt og underbukser i en tilsyneladende kraftigt medicineret tilstand."," Dr. Malar Balasubramanian, 29 år, blev fundet i Blue Ash, Ohio, en forstad cirka 15 kilometer nord for Cincinnati, liggende på jorden ved vejen i en T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",95,88," Dr. Malar Balasubramanian, 29 år, er fundet i Blue Ash, Ohio, en forstad 15 miles nord for Cincinatti liggende på jorden ved landevejen i T-shirt og undertøj i en tilsyneladende dybt medicinoverdoseret tilstand."," Dr. Malar Balasubramanian, 29 år, blev fundet i Blue Ash, Ohio, en forstad cirka 15 kilometer nord for Cincinnati, liggende på jorden ved vejen i en T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",96,88," Dr. Balasubramanian, på 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 miles nord for Cincinnati på gaden i en T-shirt og underbukser tilsyneladende i en stærkt medicineret tilstand."," Dr. Malar Balasubramanian, 29 år, blev fundet i Blue Ash, Ohio, en forstad cirka 15 kilometer nord for Cincinnati, liggende på jorden ved vejen i en T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",98,88," Dr. Malar Balasubramanian, på 29 år, var funden i Blue Ash, Ohio, en forstad omkring 15 miles nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj på en tydeligt medicinpåvirket måde."," Dr. Malar Balasubramanian, 29 år, blev fundet i Blue Ash, Ohio, en forstad cirka 15 kilometer nord for Cincinnati, liggende på jorden ved vejen i en T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",2,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,90," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,91," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Malar Balasubramaniam, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 mil nord for Cincinnati, liggende på jorden ved siden af vejen i T-shirt og undertøj i en tilsyneladende kraftigt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,93," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati ved vejen i T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,94," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Balasubramanian blev 29 år og blev fundet i Blue Ash, Ohio, en forstad 20 kilometer nord for Cincinnati, liggende på jorden nær vejen i en t-shirt og underbukser i tilsyneladende stærkt medicinpåvirket tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,97," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad 15 miles nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",98,89," Dr. Malar Balasubramanian, på 29 år, var funden i Blue Ash, Ohio, en forstad omkring 15 miles nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj på en tydeligt medicinpåvirket måde."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand.",2,4,0.5,False
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",89,99," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati på jorden ved siden af ​​vejen i en t-shirt og undertøj tilsyneladende i en højt medicin tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden nær vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",92,90," Dr. Malar Balasubramanian blev fundet i Blue Ash, Ohio, et nabolag 15 miles nord for Cincinnati, liggende på jorden ved siden af vejen i en T-shirt og underbukser i en tilsyneladende kraftigt medicineret tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",95,90," Dr. Malar Balasubramanian, 29 år, er fundet i Blue Ash, Ohio, en forstad 15 miles nord for Cincinatti liggende på jorden ved landevejen i T-shirt og undertøj i en tilsyneladende dybt medicinoverdoseret tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",96,90," Dr. Balasubramanian, på 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 miles nord for Cincinnati på gaden i en T-shirt og underbukser tilsyneladende i en stærkt medicineret tilstand."," Dr. Malar Balasubramanian, 29, blev fundet i Blue Ash, Ohio, en forstad ca. 15 km nord for Cincinnati liggende på jorden ved siden af vejen i en T-shirt og undertøj i en tilsyneladende stærkt medicineret tilstand.",4,5,1.0,True
