source_sentence_en	target_sentence	source_lang	target_lang	translations	source_sentence_mt-translated_fr	source_sentence_mt-translated_mt-translated
This is because electricity flowing into the socket where the metallic part of bulb sits can give you a severe electric shock if you touch the inside of the socket or the metal base of the bulb while it is still partly in the socket.	Dette skyldes, at elektricitet, der strømmer ind i kontakten hvor den metalliske del af pæren sidder, kan give dig et alvorligt elektrisk stød, hvis du rører indersiden af kontakten eller metallet på bunden af pæren, mens den stadig sidder delvist i soklen.	eng_Latn	dan_Latn	 Dette skyldes, at elektricitet, der strømmer ind i stikkontakten, hvor den metalliske del af pæren sidder, kan give dig et alvorligt elektrisk stød, hvis du rører ved indersiden af stikkontakten eller den metalliske base af pæren, mens den stadig er delvist i stikkontakten.	C'est parce que l'électricité circulant dans la prise où la partie métallique de l'ampoule est assise peut vous donner un choc électrique grave si vous touchez l'intérieur de la prise ou la base métallique de l'ampoule alors qu'elle est encore en partie dans la prise.	Det er fordi elektriciteten, der cirkulerer i stikkontakten, hvor den metalliske del af pæren sidder, kan give dig et alvorligt elektrisk stød, hvis du rører ved indersiden af stikkontakten eller pærens metalbase, mens den stadig delvist er i stikkontakten.
"However, in Malaysia, at least among the Malays in rural areas, it means ""come over,"" similar to the index finger bent toward the body, a gesture which is used in certain Western countries, and should be used only for that purpose."	"Men i Malaysia, i det mindste blandt den malaysiske befolkning i landdistrikterne, betyder det ""kom herhen"", ligesom pegefingeren bøjet mod kroppen, som er en gestus, der bliver brugt i visse vestlige lande, og gestussen bør kun bruges til det formål."	eng_Latn	dan_Latn	" Men i Malaysia, i det mindste blandt malayerne i landdistrikterne, betyder det ""kom herover"", svarende til pegefingeren bøjet mod kroppen, en gestus, som bruges i visse vestlige lande, og som kun bør bruges til dette formål."	Cependant, en Malaisie, au moins parmi les Malais des zones rurales, cela signifie « venir », semblable à l'index plié vers le corps, un geste qui est utilisé dans certains pays occidentaux, et qui ne devrait être utilisé qu'à cette fin.	"Men i Malaysia, i det mindste blandt malajerne i landdistrikterne, betyder det ""komme"", svarende til en finger, der bøjes mod kroppen, en gestus, der bruges i nogle vestlige lande, og som kun bør bruges til dette formål."
While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization.	Mens vi lyttede til individer, som delte deres individuelle, familiemæssige og organisatoriske historier, fik vi et værdifuldt indsigt i fortiden samt nogle af de personligheder, der påvirkede organisationens kultur på en positiv eller negativ måde.	eng_Latn	dan_Latn	 Mens vi lyttede til individer, der delte deres individuelle, familiemæssige og organisatoriske historier, fik vi værdifuld indsigt i fortiden og nogle af de personligheder, der påvirkede organisationen på godt og ondt.	Tout en écoutant des personnes partager leurs histoires individuelles, familiales et organisationnelles, nous avons acquis un précieux aperçu du passé et de certaines des personnalités qui ont influencé pour le bien ou pour le mal la culture de l'organisation.	Mens vi lyttede til folk, der delte deres individuelle, familiære og organisatoriske historier, fik vi en værdifuld indsigt i fortiden og nogle af de personligheder, der har påvirket organisationens kultur på godt og ondt.
The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.	Det newzealandske politi havde svært ved at bruge deres fartkontrol til at se hvor hurtigt Hr. Reid virkelig kørte, på grund af hvor lav Black Beauty er. Den eneste gang politiet formåede at fange Hr. Reid, var da han satte farten ned til 160 km/t.	eng_Latn	dan_Latn	 Politiet i New Zealand havde problemer med at bruge deres fartradar til at se, hvor hurtigt Mr Reid kørte, på grund af hvor lav Black Beauty er, og det eneste tidspunkt politiet fik målt Mr Reid var, da han sænkede farten til 160 km/t.	La police néo-zélandaise a eu du mal à utiliser ses pistolets radar pour voir à quel point M. Reid allait vite à cause de sa faible beauté noire, et la seule fois où la police a réussi à faire tourner M. Reid était quand il a ralenti à 160 km/h.	Det newzealandske politi havde svært ved at bruge deres radarpistoler til at se, hvor hurtigt hr. Reid kørte på grund af hans lave sorte skønhed, og den eneste gang politiet lykkedes at få hr. Reid til at stoppe, var da han sænkede farten til 160 km/t.
Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.	Omkring 11:29 bevægede demonstrationen sig op ad Whitehall, forbi Trafalgar Square, langs the Strand, forbi Aldwych og op ad Kingsway i retning af Holborn, hvor det Konservative parti afholdt deres forårs-forum på hotellet Grand Connaught Rooms.	eng_Latn	dan_Latn	 Omkring 11:29 bevægede protesten sig op ad Whitehall, forbi Trafalgar Square, langs Strand, forbi Aldwych og op Kingsway mod Holborn, hvor det Konservative Parti afholdt deres forårsmøde i Grand Connaught Rooms hotel.	Vers 11h29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, passant par Aldwych et Kingsway vers Holborn où le Parti conservateur tenait son forum de printemps dans l'hôtel Grand Connaught Rooms.	Omkring kl. 11.29 bevægede demonstrationen sig mod Whitehall, foran Trafalgar Square, langs Strand, forbi Aldwych og Kingsway mod Holborn, hvor det konservative parti holdt sit forårsforum i hotellet Grand Connaught Rooms.
Although you may think it is intuitive to join the airline you fly most, you should be aware that privileges offered are often different and frequent flyer points may be more generous under a different airline in the same alliance.	Selvom du måske synes, det giver mest mening at blive medlem af det flyselskab, du bruger mest, bør du være opmærksom på, at medlemsfordele og pointsystemer ofte varierer og kan være mere fordelagtige hos et andet flyselskab i samme alliance.	eng_Latn	dan_Latn	 Selvom du måske tror, at det er intuitivt at tilmelde dig det flyselskab, du flyver mest med, skal du være opmærksom på, at de tilbudte privilegier ofte er forskellige, og at frequent flyer-point ofte er mere generøse under et andet flyselskab i den samme alliance.	Bien que vous puissiez penser qu'il est intuitif de rejoindre la compagnie aérienne que vous pilotez le plus, vous devriez être conscient que les privilèges offerts sont souvent différents et les points de vol fréquents peuvent être plus généreux sous une compagnie aérienne différente dans la même alliance.	Selvom du måske tror, at det er intuitivt at tilslutte sig det flyselskab, du flyver mest med, bør du være opmærksom på, at de tilbudte privilegier ofte er forskellige, og at bonuspointene kan være mere generøse hos et andet flyselskab i samme alliance.
Mysticism can be distinguished from other forms of religious belief and worship by its emphasis on the direct personal experience of a unique state of consciousness, particularly those of a peaceful, insightful, blissful, or even ecstatic character.	Mystik kan skelnes fra andre former for religiøs tro og tilbedelse ved, at den lægger vægt på den direkte personlige oplevelse af en unik bevidsthedstilstand især dem med en fredelig, indsigtsfuld, lykkelig eller endda ekstatisk karakter.	eng_Latn	dan_Latn	 Mysticisme kan skelnes fra andre former for religiøs tro og tilbedelse ved dens vægt på den direkte personlige oplevelse af en unik tilstand af bevidsthed, især dem af en fredelig, indsigtsfuld, lyksalig eller endda ekstatisk karakter.	Le mysticisme se distingue des autres formes de croyance religieuse et de culte par son accent mis sur l'expérience personnelle directe d'un état de conscience unique, en particulier ceux d'un caractère pacifique, perspicace, agréable, voire extatique.	Mysticisme adskiller sig fra andre former for religiøs tro og tilbedelse ved at lægge vægt på den personlige direkte oplevelse af en unik bevidsthedstilstand, især dem af en fredelig, indsigtsfuld, behagelig eller endda ekstatiske karakter.
Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.	Førende forskere siger, at dette kan medføre tidlig opdagelse af kræft, tuberkulose, HIV og malaria for patienter i lavindkomstlande, hvor overlevelsesraterne for sygdomme, såsom brystkræft, kan være halvdelen af dem fra rigere lande.	eng_Latn	dan_Latn	 Ledende forskere siger, at dette kan bringe tidlig opdagelse af kræft, tuberkulose, HIV og malaria til patienter i lavindkomstlande, hvor overlevelsesraten for sygdomme som brystkræft kan være halvdelen af de rigere landes.	Les chercheurs chefs de file affirment que cela peut amener les patients des pays à faible revenu à détecter rapidement le cancer, la tuberculose, le VIH et le paludisme, où les taux de survie pour des maladies comme le cancer du sein peuvent être la moitié de ceux des pays plus riches.	De førende forskere hævder, at dette kan få patienter i lavindkomstlande til hurtigt at opdage kræft, tuberkulose, HIV og malaria, hvor overlevelsesraterne for sygdomme som brystkræft kan være halvdelen af dem i rigere lande.
In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.	I april i år blev der udstedt et midlertidigt polititilhold af dommer Glynn mod faciliteten, for at håndhæve løsladelsen af dem der blev tilbageholdt i mere end 24 timer, efter de blev anholdt, og som ikke blev afhørt af en kommissær.	eng_Latn	dan_Latn	 I april i år udstedte dommer Glynn en midlertidig tilbageholdelsesordre mod faciliteten for at håndhæve frigivelsen af dem, der blev tilbageholdt i mere end 24 timer efter deres indtagelse, og som ikke modtog en høring af en domstolskommissær.	En avril de cette année, le juge Glynn a rendu une ordonnance temporaire de remise en liberté des personnes détenues plus de 24 heures après leur admission qui n'ont pas été entendues par un commissaire de la cour.	I april i år udstedte dommer Glynn en midlertidig kendelse om løsladelse af personer, der har været tilbageholdt i mere end 24 timer efter deres ankomst, og som ikke er blevet hørt af en domstolskommissær.
We know many Greek politicians, scientists, and artists. Possibly the most known person of this culture is Homer, the legendary blind poet, who composed two masterpieces of Greek literature: the poems Iliad and Odyssey.	Vi kender mange græske politikere, videnskabsmænd og kunstnere. Homer, den legendariske blinde digter, der måske er den mest kendte person fra denne kultur, komponerede to mesterværker i græsk litteratur: Digtene Iliaden og Odysseen.	eng_Latn	dan_Latn	 Vi kender mange græske politikere, videnskabsfolk og kunstnere. Muligvis er den mest kendte person fra denne kultur Homer, den legendariske blinde digter, som komponerede to mesterværker af græsk litteratur: digtene Iliaden og Odysseen.	Nous connaissons beaucoup de politiciens grecs, de scientifiques et d'artistes. La personne la plus connue de cette culture est probablement Homer, le poète aveugle légendaire, qui a composé deux chefs-d'œuvre de la littérature grecque: les poèmes Iliad et Odyssey.	Vi kender mange græske politikere, videnskabsfolk og kunstnere. Den mest kendte person fra denne kultur er sandsynligvis Homer, den legendariske blinde digter, der komponerede to mesterværker af græsk litteratur: digtene Iliaden og Odysseen.
"These children tend to get into a lot of trouble, because they ""engage in risky behaviors, get into fights, and challenge authority"" in order to stimulate their brain, since their brain can not be stimulated by normal methods."	"Disse børn har tendens til at rende ind i en masse problemer, da de ""engagerer sig i risikabel adfærd, kommer i slagsmål, og udfordrer autoriteter"" for at stimulere deres hjerne, da deres hjerne ikke bliver stimuleret på normal vis."	eng_Latn	dan_Latn	" Disse børn har tendens til at komme i en masse problemer, fordi de ""engagerer sig i risikable adfærd, kommer i slagsmål og udfordrer autoriteter"" for at stimulere deres hjerne, da deres hjerne ikke kan stimuleres med normale metoder."	Ces enfants ont tendance à avoir beaucoup d'ennuis, parce qu'ils « s'engagent dans des comportements risqués, entrent dans des combats et défient l'autorité » afin de stimuler leur cerveau, car leur cerveau ne peut pas être stimulé par des méthodes normales.	"Disse børn har en tendens til at komme i mange problemer, fordi de ""deltager i risikabel adfærd, kommer i slagsmål og udfordrer autoritet"" for at stimulere deres hjerne, da deres hjerne ikke kan stimuleres ved normale metoder."
While you may not need a visa for short visits to certain countries as a tourist or for business, going there as an international student generally requires a longer stay than going there just as a casual tourist.	Selvom du måske ikke har brug for et visum til korte besøg som turist i visse lande, eller til forretningsbesøg, kræver det ofte et længere ophold at tage derhen som udenlandsk studerende, end at tage derhen som en afslappet turist.	eng_Latn	dan_Latn	 Mens du måske ikke behøver et visum til korte besøg i visse lande som turist eller for forretning, kræver det generelt et længere ophold at gå der som international studerende end at gå der som en tilfældig turist.	Bien que vous n'ayez pas besoin d'un visa pour de courtes visites dans certains pays en tant que touriste ou pour des affaires, aller là-bas en tant qu'étudiant international nécessite généralement un séjour plus long que d'aller là-bas tout comme un touriste occasionnel.	Selvom du ikke har brug for et visum til korte besøg i visse lande som turist eller forretningsrejsende, kræver det som regel et længere ophold at tage dertil som international studerende end blot som en almindelig turist.
Komen's policy disqualified Planned Parenthood due to a pending investigation on how Planned Parenthood spends and reports its money that is being conducted by Representative Cliff Stearns.	Komens holdning diskvalificerede organisationen Planned Parenthood,  da en undersøgelse af, hvordan organisationen bruger og rapporterer den økonomiske støtte var under udarbejdelse af medlem af Repræsentanternes Hus Cliff Stearns.	eng_Latn	dan_Latn	 Komen's politik diskvalificerede Planned Parenthood på grund af en igangværende undersøgelse af, hvordan Planned Parenthood bruger og rapporterer sine penge, som udføres af kongresmedlem Cliff Stearns.	La politique de Komen disqualifie Planning Parenthood en raison d'une enquête en cours sur la façon dont Planning Parenthood dépense et déclare son argent qui est mené par le représentant Cliff Stearns.	Komen's politik diskvalificerer Planned Parenthood på grund af en igangværende undersøgelse af, hvordan Planned Parenthood bruger og rapporterer sine penge, som ledes af repræsentant Cliff Stearns.
Roberts flatly refused to say about when he believes life begins, an important question when considering the ethics of abortion, saying that it would be unethical to comment on the specifics of likely cases.	Roberts nægtede blankt at sige noget om, hvornår han mener, at livet begynder, hvilket er et vigtigt spørgsmål, når man overvejer etikken ved abort. Han sagde, at det ville være uetisk at kommentere på detaljerne i lignende sager.	eng_Latn	dan_Latn	 Roberts afviste blankt at udtale sig om, hvornår han mener, at livet begynder, et vigtigt spørgsmål, når man overvejer abortens etik, og sagde, at det ville være uetisk at kommentere detaljerne i sandsynlige sager.	Roberts a carrément refusé de dire quand il croit que la vie commence, une question importante quand il considère l'éthique de l'avortement, disant qu'il serait contraire à l'éthique de commenter les détails des cas probables.	Roberts nægtede direkte at sige, hvornår han mener, at livet begynder, et vigtigt spørgsmål, når han overvejer etikken ved abort, og sagde, at det ville være uetisk at kommentere detaljerne i sandsynlige sager.
Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.	Peter Costello, som er en australsk kasserer og den person der højest sandsynligt kommer til at efterfølge premierminister John Howard som partileder i det liberale parti, har givet sin støtte til atomkraftindustrien i Australien.	eng_Latn	dan_Latn	 Peter Costello, Australiens finansminister og den mest sandsynlige efterfølger for premierminister John Howard som leder af det Liberale parti, har givet sin støtte til en atomkraftindustri i Australien.	Peter Costello, trésorier australien et l'homme le plus susceptible de succéder au premier ministre John Howard en tant que chef du Parti libéral, a jeté son soutien derrière une industrie nucléaire en Australie.	Peter Costello, australsk finansminister og den mest sandsynlige efterfølger til premierminister John Howard som leder af det Liberale Parti, har givet sin støtte til en nuklear industri i Australien.
Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.	Lejere i Lockwood Gardens mener, at mindst 40 andre familier kan blive sat på gaden, efter de fandt ud af, at OHA-politistyrken også efterforsker andre offentlige boligejendomme i Oakland, som kan være en del af boligbedrageriet.	eng_Latn	dan_Latn	 Lejere i Lockwood Gardens mener, at der kan være yderligere 40 familier eller flere, der står over for udsættelse, da de har erfaret, at OHA politiet også efterforsker andre almene boliger i Oakland, som kan være fanget i boligsvindlen.	Les locataires de Lockwood Gardens croient qu'il peut y avoir 40 autres familles ou plus pour faire face à l'expulsion, car ils ont appris que la police de l'OHA enquête également sur d'autres propriétés de logements publics à Oakland qui peuvent être pris dans l'escroquerie de logement.	Beboerne i Lockwood Gardens tror, at der kan være 40 andre familier eller flere, der står over for udsættelse, da de har erfaret, at politiet fra OHA også undersøger andre offentlige boliger i Oakland, som kan være involveret i boligsnyd.
Stearns is investigating whether taxes are used to fund abortions through Planned Parenthood in his role as chairman of the Oversight and Investigations Subcommittee, which is under the umbrella of the House Energy and Commerce Committee.	Via sin rolle som formand for Oversight and Investigations Subcommittee, som er under ledelse af House Energy and Commerce Committe undersøger Stearns hvorvidt skatter anvendes til at finansiere aborter gennem Planned Parenthood,	eng_Latn	dan_Latn	 Stearns undersøger, om skatter bruges til at finansiere aborter gennem Planned Parenthood i sin rolle som formand for underudvalget for tilsyn og undersøgelser, som er under paraplyen af House Energy and Commerce Committee.	Stearns étudie actuellement la question de savoir si les impôts servent à financer les avortements par le biais de la planification familiale, dans le cadre de son rôle de président du Sous-comité de surveillance et d'enquête, qui relève du Comité de l'énergie et du commerce de la Chambre.	Stearns undersøger i øjeblikket, om skatter bruges til at finansiere aborter gennem familieplanlægning, som en del af hans rolle som formand for Underudvalget for Tilsyn og Undersøgelser, der hører under Repræsentanternes Hus' Energi- og Handelsudvalg.
